,date,price
0,2017-01-03,1151.0
1,2017-01-02,1145.9
2,2016-12-30,1145.9
3,2016-12-29,1145.9
4,2016-12-28,1134.6
5,2016-12-27,1131.4
6,2016-12-26,1131.4
7,2016-12-23,1131.4
8,2016-12-22,1131.4
9,2016-12-21,1133.7
10,2016-12-20,1125.7
11,2016-12-19,1136.25
12,2016-12-16,1131.6
13,2016-12-15,1126.95
14,2016-12-14,1162.25
15,2016-12-13,1158.55
16,2016-12-12,1156.1
17,2016-12-09,1163.6
18,2016-12-08,1171.05
19,2016-12-07,1177.65
20,2016-12-06,1172.5
21,2016-12-05,1162.2
22,2016-12-02,1173.5
23,2016-12-01,1161.85
24,2016-11-30,1178.1
25,2016-11-29,1186.55
26,2016-11-28,1187.0
27,2016-11-25,1187.7
28,2016-11-24,1186.1
29,2016-11-23,1185.35
30,2016-11-22,1212.25
31,2016-11-21,1214.25
32,2016-11-18,1211.0
33,2016-11-17,1226.75
34,2016-11-16,1229.2
35,2016-11-15,1226.95
36,2016-11-14,1213.6
37,2016-11-11,1236.45
38,2016-11-10,1267.5
39,2016-11-09,1281.4
40,2016-11-08,1282.35
41,2016-11-07,1283.05
42,2016-11-04,1302.8
43,2016-11-03,1301.0
44,2016-11-02,1303.8
45,2016-11-01,1288.5
46,2016-10-31,1272.0
47,2016-10-28,1273.0
48,2016-10-27,1266.25
49,2016-10-26,1270.5
50,2016-10-25,1269.4
51,2016-10-24,1265.55
52,2016-10-21,1266.05
53,2016-10-20,1271.65
54,2016-10-19,1269.05
55,2016-10-18,1258.2
56,2016-10-17,1254.8
57,2016-10-14,1251.75
58,2016-10-13,1261.05
59,2016-10-12,1256.5
60,2016-10-11,1253.45
61,2016-10-10,1259.5
62,2016-10-07,1258.75
63,2016-10-06,1254.5
64,2016-10-05,1269.4
65,2016-10-04,1283.3
66,2016-10-03,1313.3
67,2016-09-30,1322.5
68,2016-09-29,1318.1
69,2016-09-28,1322.5
70,2016-09-27,1327.0
71,2016-09-26,1340.5
72,2016-09-23,1338.7
73,2016-09-22,1339.1
74,2016-09-21,1326.1
75,2016-09-20,1313.8
76,2016-09-19,1314.85
77,2016-09-16,1308.35
78,2016-09-15,1310.8
79,2016-09-14,1321.75
80,2016-09-13,1323.65
81,2016-09-12,1324.6
82,2016-09-09,1330.85
83,2016-09-08,1343.4
84,2016-09-07,1348.35
85,2016-09-06,1337.25
86,2016-09-05,1326.35
87,2016-09-02,1324.7
88,2016-09-01,1309.5
89,2016-08-31,1309.25
90,2016-08-30,1318.15
91,2016-08-29,1318.75
92,2016-08-26,1318.75
93,2016-08-25,1321.3
94,2016-08-24,1327.25
95,2016-08-23,1342.0
96,2016-08-22,1335.9
97,2016-08-19,1346.4
98,2016-08-18,1350.05
99,2016-08-17,1343.35
100,2016-08-16,1344.0
101,2016-08-15,1339.4
102,2016-08-12,1352.2
103,2016-08-11,1355.0
104,2016-08-10,1347.7
105,2016-08-09,1341.0
106,2016-08-08,1336.8
107,2016-08-05,1340.4
108,2016-08-04,1362.75
109,2016-08-03,1358.9
110,2016-08-02,1363.75
111,2016-08-01,1349.65
112,2016-07-29,1342.0
113,2016-07-28,1341.75
114,2016-07-27,1329.0
115,2016-07-26,1323.0
116,2016-07-25,1313.15
117,2016-07-22,1320.75
118,2016-07-21,1321.15
119,2016-07-20,1315.9
120,2016-07-19,1330.9
121,2016-07-18,1334.7
122,2016-07-15,1327.0
123,2016-07-14,1323.6
124,2016-07-13,1342.75
125,2016-07-12,1342.4
126,2016-07-11,1357.1
127,2016-07-08,1354.25
128,2016-07-07,1356.7
129,2016-07-06,1366.25
130,2016-07-05,1350.75
131,2016-07-04,1350.75
132,2016-07-01,1340.0
133,2016-06-30,1320.75
134,2016-06-29,1321.5
135,2016-06-28,1309.7
136,2016-06-27,1324.55
137,2016-06-24,1315.5
138,2016-06-23,1262.15
139,2016-06-22,1264.85
140,2016-06-21,1272.6
141,2016-06-20,1281.8
142,2016-06-17,1290.7
143,2016-06-16,1310.75
144,2016-06-15,1283.3
145,2016-06-14,1287.15
146,2016-06-13,1280.8
147,2016-06-10,1275.5
148,2016-06-09,1263.9
149,2016-06-08,1263.0
150,2016-06-07,1241.0
151,2016-06-06,1244.0
152,2016-06-03,1240.5
153,2016-06-02,1212.4
154,2016-06-01,1214.5
155,2016-05-31,1212.1
156,2016-05-30,1216.25
157,2016-05-27,1216.25
158,2016-05-26,1223.85
159,2016-05-25,1220.6
160,2016-05-24,1236.85
